,7,0.01,3.59,5.24,1.46,0.42,0.00,2.85,4.14,1.22,0.34,0.00,3.31,5.01,1.76,0.44,0.01,2.84,4.46,1.34,0.33,0.01,2.96,4.72,1.84,0.45,0.02,3.38,4.63,1.69,0.36,0.00,3.82,5.10,1.49,0.46
,8,0.02,3.66,5.03,1.63,0.65,0.02,3.32,5.05,1.53,0.48,0.02,3.53,5.25,2.11,0.68,0.03,2.91,4.91,1.76,0.44,0.02,3.08,5.41,2.25,0.69,0.05,3.43,4.95,2.15,0.46,0.03,3.70,5.43,1.94,0.48
,9,0.02,3.44,5.30,2.11,0.93,0.02,4.07,6.34,2.11,0.67,0.01,4.02,5.86,2.60,0.80,0.01,3.18,5.57,2.30,0.64,0.01,3.89,6.79,3.14,0.98,0.04,3.71,5.95,2.68,0.61,0.03,3.35,5.92,2.43,0.61
,10,0.02,3.10,5.51,2.51,1.09,0.01,4.21,6.37,2.88,0.76,0.01,4.19,6.35,2.66,0.88,0.02,3.63,5.76,2.32,0.77,0.00,4.45,7.90,3.71,1.20,0.00,3.50,6.02,2.98,0.87,0.02,2.84,5.59,2.48,0.77
,11,0.05,3.13,6.21,3.45,1.16,0.02,5.11,7.56,3.23,0.90,0.02,4.13,7.26,3.17,0.89,0.01,3.85,6.40,2.71,0.77,0.00,4.79,8.76,3.98,1.21,0.03,3.68,6.27,3.04,0.95,0.01,2.97,5.13,2.76,0.65
,12,0.02,3.94,7.57,3.82,1.46,0.01,5.78,9.59,4.23,1.29,0.04,4.52,8.08,3.80,0.93,0.01,4.83,6.92,3.66,0.97,0.01,5.46,10.24,4.16,1.17,0.04,4.07,7.05,3.47,1.13,0.04,3.28,5.58,3.19,0.78
,13,0.04,4.61,8.66,4.30,1.40,0.01,6.35,10.49,4.90,1.74,0.05,5.47,9.40,4.30,1.03,0.02,5.37,7.68,4.09,1.32,0.02,6.37,11.14,4.19,1.21,0.06,5.14,7.75,3.84,1.36,0.09,3.29,6.41,3.58,0.97
,14,0.02,5.00,9.27,4.94,1.55,0.18,7.36,11.71,5.38,1.97,0.04,6.73,10.58,4.55,1.20,0.02,6.47,8.74,4.41,1.45,0.01,7.28,12.01,4.66,1.32,0.05,6.24,9.51,4.42,1.47,0.08,4.08,7.02,3.81,1.15
,15,0.02,5.96,10.00,5.03,1.55,0.22,8.61,13.01,5.71,1.93,0.04,7.33,11.68,4.64,1.31,0.02,6.85,9.64,4.64,1.38,0.04,8.00,12.62,5.25,1.44,0.03,6.60,11.34,4.72,1.27,0.05,4.63,8.23,4.24,1.20
,16,0.02,6.27,9.92,4.47,1.49,0.06,8.75,14.39,6.12,1.75,0.03,7.74,11.72,5.05,1.27,0.03,6.42,9.72,4.61,1.35,0.04,8.02,12.59,5.30,1.53,0.04,6.07,11.81,5.07,1.27,0.04,4.53,9.07,4.48,1.27
,17,0.01,5.46,8.85,4.18,1.23,0.01,9.04,14.69,6.04,1.56,0.05,7.29,11.23,5.71,1.07,0.04,6.09,9.77,4.49,1.18,0.05,7.50,12.33,5.14,1.31,0.03,5.55,11.28,4.91,1.08,0.01,4.30,8.29,4.24,1.10
,18,0.03,5.11,8.28,4.08,1.19,0.05,9.41,14.63,5.84,1.30,0.04,6.93,11.22,5.70,1.05,0.05,6.77,10.54,4.30,1.29,0.06,7.66,11.80,4.95,1.40,0.06,5.46,11.19,4.82,0.94,0.02,4.37,7.60,4.00,1.06
,19,0.05,4.46,7.94,3.89,1.06,0.06,8.66,14.02,5.50,1.27,0.05,6.18,11.94,5.50,1.08,0.07,6.35,10.72,4.29,1.24,0.08,7.50,11.04,5.04,1.55,0.04,5.69,10.89,4.41,0.80,0.02,3.69,7.14,3.60,1.02
,20,0.02,3.89,7.08,3.27,0.87,0.02,7.69,12.42,5.25,1.26,0.04,6.13,11.17,5.28,1.06,0.02,5.48,10.20,4.40,1.02,0.03,7.11,10.27,4.61,1.40,0.01,5.49,9.55,3.77,0.82,0.01,3.64,6.66,3.20,0.83
,21,0.02,4.43,6.75,3.32,0.80,0.05,7.06,11.50,4.84,1.21,0.03,6.46,9.99,4.84,1.12,0.05,5.30,9.88,4.47,0.95,0.05,7.62,10.31,4.60,1.28,0.03,5.50,8.74,3.61,0.88,0.02,4.12,6.81,2.96,0.65
,22,0.07,5.15,7.48,3.39,0.82,0.05,6.71,10.83,4.89,1.19,0.02,6.75,9.90,4.64,1.25,0.04,5.44,9.94,4.42,0.92,0.05,7.78,10.21,4.88,1.15,0.04,5.84,9.12,3.69,0.88,0.01,4.98,7.20,3.22,0.74
,23,0.07,5.64,7.23,3.19,0.63,0.04,6.79,9.94,4.36,0.96,0.02,6.87,9.39,4.08,1.22,0.03,5.48,9.67,4.05,0.86,0.01,7.56,9.95,4.58,0.92,0.03,5.82,9.13,3.67,0.74,0.03,5.41,7.34,3.14,0.79
RGH,0,0.05,4.68,6.62,2.65,0.47,0.01,4.73,7.17,2.93,0.32,0.02,4.89,7.60,3.35,0.50,0.03,4.50,7.58,2.98,0.34,0.01,3.92,6.96,2.46,0.24,0.06,4.64,6.74,2.90,0.47,0.00,4.65,6.60,2.67,0.54
,1,0.08,4.07,6.45,2.29,0.41,0.01,4.18,5.51,2.57,0.32,0.02,4.18,6.35,2.31,0.43,0.02,4.05,5.96,2.39,0.31,0.02,3.48,5.90,2.33,0.12,0.05,3.90,5.74,2.21,0.37,0.01,4.43,5.98,2.23,0.34
,2,0.07,3.99,5.79,2.22,0.28,0.01,3.84,4.67,2.17,0.35,0.00,3.63,5.62,1.90,0.36,0.05,3.63,4.97,1.83,0.23,0.02,2.96,5.12,1.97,0.09,0.09,3.72,4.69,1.85,0.28,0.04,4.14,5.67,2.19,0.31
,3,0.06,3.96,5.44,2.21,0.27,0.01,3.30,4.16,1.88,0.38,0.00,3.27,4.70,1.64,0.23,0.03,3.22,4.30,1.43,0.15,0.01,2.28,4.74,1.47,0.12,0.03,3.25,3.87,1.44,0.23,0.05,3.69,5.44,2.12,0.32
,4,0.05,3.33,4.88,2.15,0.34,0.00,2.78,3.53,1.67,0.32,0.02,2.68,3.72,1.32,0.16,0.01,2.34,3.66,1.14,0.12,0.03,2.11,4.10,1.27,0.07,0.02,2.69,3.42,1.05,0.16,0.00,2.98,4.96,1.82,0.18
,5,0.03,3.02,4.96,1.97,0.23,0.00,2.97,3.40,1.49,0.29,0.00,2.36,3.45,1.00,0.12,0.00,2.09,3.38,0.89,0.09,0.02,1.54,3.76,1.29,0.07,0.00,2.59,3.29,0.91,0.07,0.00,2.98,4.61,1.51,0.14
,6,0.03,3.08,4.99,1.78,0.18,0.00,2.70,3.34,1.37,0.30,0.01,2.45,3.46,1.10,0.09,0.02,2.14,3.23,0.76,0.14,0.00,1.43,3.79,1.08,0.12,0.01,2.60,3.22,0.92,0.07,0.01,2.62,4.30,1.33,0.15
,7,0.05,2.71,4.26,1.77,0.28,0.01,2.20,3.40,1.52,0.33,0.02,2.18,3.49,1.32,0.26,0.01,1.77,3.00,1.10,0.18,0.00,1.58,3.28,1.19,0.33,0.01,2.15,2.87,0.96,0.22,0.02,2.17,3.36,1.57,0.28
,8,0.03,2.78,4.42,1.96,0.46,0.01,2.36,4.15,1.96,0.39,0.03,2.44,3.62,1.93,0.36,0.01,1.88,3.80,1.82,0.37,0.04,2.15,3.75,1.69,0.43,0.01,2.07,3.51,1.41,0.44,0.01,2.24,3.68,2.01,0.48
,9,0.03,3.19,4.35,2.39,0.75,0.00,3.09,5.92,2.41,0.55,0.01,2.84,4.68,2.37,0.44,0.01,2.61,4.95,2.31,0.40,0.03,2.93,5.04,2.13,0.53,0.03,2.73,4.31,2.16,0.78,0.00,2.37,3.97,2.35,0.62
,10,0.05,3.59,5.32,2.98,0.88,0.02,3.93,6.78,3.19,0.54,0.00,4.15,5.95,3.14,0.59,0.03,3.17,6.53,2.52,0.45,0.03,4.03,6.61,2.74,0.75,0.01,3.33,5.65,2.70,1.00,0.01,2.98,4.72,2.96,0.88
,11,0.02,3.26,6.00,3.40,1.09,0.05,3.86,7.11,3.53,0.65,0.00,4.32,7.26,3.34,0.63,0.04,3.91,6.68,2.82,0.77,0.01,4.86,7.43,3.16,0.74,0.02,4.16,6.60,3.53,0.85,0.01,3.23,5.46,3.18,1.11
,12,0.01,3.56,6.79,3.50,1.19,0.01,4.70,8.29,3.72,0.75,0.01,4.47,7.77,3.55,0.66,0.02,4.90,7.06,3.48,0.69,0.03,5.79,8.13,3.57,0.66,0.02,4.77,7.05,3.94,0.96,0.01,3.76,6.54,3.33,0.99
,13,0.05,4.18,7.46,3.96,1.09,0.00,5.50,8.83,4.02,0.72,0.01,4.95,8.13,3.70,0.57,0.01,5.12,7.34,3.67,0.57,0.01,6.48,8.66,4.22,0.72,0.03,5.16,7.94,3.85,0.91,0.03,4.24,6.81,3.66,0.83
,14,0.03,4.52,7.73,4.40,1.12,0.59,5.71,9.00,4.66,0.83,0.00,5.10,8.38,4.17,0.72,0.03,4.96,7.55,3.85,0.60,0.04,6.43,9.27,4.52,0.90,0.03,5.34,8.53,4.08,0.84,0.03,4.09,7.28,3.94,0.73
,15,0.04,4.37,7.15,4.12,0.95,0.82,5.46,9.63,4.75,0.70,0.04,5.46,8.71,3.77,0.86,0.01,4.93,7.64,4.07,0.60,0.05,5.98,9.32,4.29,1.02,0.05,5.17,8.61,4.31,1.08,0.01,4.38,6.99,3.97,0.84
,16,0.01,4.38,7.75,4.31,0.96,0.34,5.78,10.50,4.76,0.75,0.02,5.64,9.47,3.71,0.87,0.03,4.99,8.27,3.76,0.59,0.04,6.44,9.64,4.13,1.01,0.02,5.66,8.85,4.31,1.00,0.01,4.30,7.23,4.15,0.81
